Text4,FirstofService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,UnitType,SumofDD-Cases,SumOfDD-Units,SumofDD-Cost,CostPerCase,CostPerUnit,UnitPerCase
Allegan,,,,,,,,,,,
,State Psychiatric Hospital - Inpatient PT22,"0100, 0101, 0114, 0124, 0134, 0154",,PT22,Days,1,21,"3,710.00",3710,177,21
,State Mental Retardation Facility - Inpatient (ICF/MR) PT65,"0100, 0101, 0114, 0124, 0134, 0154",,PT65,Days,0,0,0,0,0,0
,Local Psychiatric Hospital/IMD PT68,"0100, 0101, 0114, 0124, 0134, 0154",,PT68,Days,1,6,"4,140.00",4140,690,6
,Local Psychiatric Hospital - Acute Community PT73,"0100, 0101, 0114, 0124, 0134, 0154",,PT73,Days,4,35,"4,706.00",1177,134,9
,Inpatient Hospital Ancillary Services - Room and Board,144,,,Days,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Days,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0,0,0,0
,ECT Anesthesia,370,,,,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0,0,0,0
,ECT Recovery Room,710,,,,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,0,0,0,0
,Crisis Observation Care,762,,,Hour,0,0,0,0,0,0
,Additional Codes-ECT Facility Charge,901,,,Encounter,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0,0,0,0
,Outpatient Partial Hospitalization,912,,,Days,0,0,0,0,0,0
,Outpatient Partial Hospitalization,913,,,Days,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0,0,0,0
,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0,0,0,0
,Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,0,0,0,0
,Additional Codes-ECT Anesthesia,901,104,,Minutes,0,0,0,0,0,0
,Drug Screen for Methadone Clients Only,,80100,,Per Screen,0,0,0,0,0,0
,Drug Screen for Methadone Clients Only,,80101,,Per Screen,0,0,0,0,0,0
,Alcohol Breath Test for Methadone Clients Only,,82075,,Per Test,0,0,0,0,0,0
,Assessment-Psychiatric Assessment,,90801,,Encounter,19,19,"5,206.00",274,274,1
,Substance Abuse: Psychiatric Evaluation,,90801,,Encounter,0,0,0,0,0,0
,Assessment-Psychiatric Assessment,,90802,,Encounter,0,0,0,0,0,0
,Substance Abuse: Psychiatric Evaluation,,90802,,Encounter,0,0,0,0,0,0
,Therapy-Individual Therapy,,90804,,Encounter 20-30 Min,31,315,"22,439.00",724,71,10
Allegan,,,,,,,,,,,
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90804,,Encounter 20-30 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90805,,Encounter 20-30 Min,0,0,0,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90805,,Encounter 20-30 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90806,,Encounter 45-50 Min,24,147,"19,109.00",796,130,6
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90806,,Encounter 45-50 Min,0,0,0,0,0,0
,Therapy-Individual Therapy,,90807,,Encounter 45-50 Min,0,0,0,0,0,0
