CMHName,FirstofService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,UnitType,SumofMIA-Cases,FirstofMIA-Units,SumofMIA-Cost,CostPerCase,CostPerUnit,UnitPerCase
Allegan,,,,,,,,,,,
,State Psychiatric Hospital - Inpatient PT22,"0100, 0101, 0114, 0124, 0134, 0154",,PT22,Days,9,"1,046.00","$421,649.00 ",46850,403,116
,State Mental Retardation Facility - Inpatient (ICF/MR) PT65,"0100, 0101, 0114, 0124, 0134, 0154",,PT65,Days,0,0,$0.00 ,0,0,0
,Local Psychiatric Hospital/IMD PT68,"0100, 0101, 0114, 0124, 0134, 0154",,PT68,Days,12,120,"$44,032.00 ",3669,367,10
,Local Psychiatric Hospital - Acute Community PT73,"0100, 0101, 0114, 0124, 0134, 0154",,PT73,Days,152,"1,017.00","$503,860.00 ",3315,495,7
,Inpatient Hospital Ancillary Services - Room and Board,144,,,Days,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Days,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,$0.00 ,0,0,0
,ECT Anesthesia,370,,,,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,$0.00 ,0,0,0
,ECT Recovery Room,710,,,,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,$0.00 ,0,0,0
,Crisis Observation Care,762,,,Hour,0,0,$0.00 ,0,0,0
,Additional Codes-ECT Facility Charge,901,,,Encounter,1,9,$745.00 ,745,83,9
,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,$0.00 ,0,0,0
,Outpatient Partial Hospitalization,912,,,Days,1,7,$355.00 ,355,51,7
,Outpatient Partial Hospitalization,913,,,Days,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,$0.00 ,0,0,0
,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,$0.00 ,0,0,0
,Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,$0.00 ,0,0,0
,Drug Screen for Methadone Clients Only,,80100,,Per Screen,0,0,$0.00 ,0,0,0
,Drug Screen for Methadone Clients Only,,80101,,Per Screen,0,0,$0.00 ,0,0,0
,Alcohol Breath Test for Methadone Clients Only,,82075,,Per Test,0,0,$0.00 ,0,0,0
,Medication Administration,,90772,,Encounter,22,292,"$19,593.00 ",891,67,13
,Assessment-Psychiatric Assessment,,90801,,Encounter,222,222,"$45,958.00 ",207,207,1
,Substance Abuse: Psychiatric Evaluation,,90801,,Encounter,0,0,$0.00 ,0,0,0
,Assessment-Psychiatric Assessment,,90802,,Encounter,0,0,$0.00 ,0,0,0
,Substance Abuse: Psychiatric Evaluation,,90802,,Encounter,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90804,,Encounter 20-30 Min,254,478,"$37,717.00 ",148,79,2
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90804,,Encounter 20-30 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90805,,Encounter 20-30 Min,0,0,$0.00 ,0,0,0
Allegan,,,,,,,,,,,
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90805,,Encounter 20-30 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90806,,Encounter 45-50 Min,483,"4,196.00","$600,999.00 ",1244,143,9
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90806,,Encounter 45-50 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90807,,Encounter 45-50 Min,0,0,$0.00 ,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90807,,Encounter 45-50 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90808,,Encounter 75-80 Min,39,102,"$23,846.00 ",611,234,3
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90808,,Encounter 75-80 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90809,,Encounter 75-80 Min,0,0,$0.00 ,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90809,,Encounter 75-80 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90810,,Encounter 20-30 Min,0,0,$0.00 ,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90810,,Encounter 20-30 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90811,,Encounter 20-30 Min,0,0,$0.00 ,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90811,,Encounter 20-30 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90812,,Encounter 45-50 Min,0,0,$0.00 ,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90812,,Encounter 45-50 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90813,,Encounter 45-50 Min,0,0,$0.00 ,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90813,,Encounter 45-50 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90814,,Encounter 75-80 Min,0,0,$0.00 ,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90814,,Encounter 75-80 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90815,,Encounter 75-80 Min,0,0,$0.00 ,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90815,,Encounter 75-80 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90816,,Encounter 20-30 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90817,,Encounter 20-30 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90818,,Encounter 45-50 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90819,,Encounter 45-50 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90821,,Encounter 75-80 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90822,,Encounter 75-80 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90823,,Encounter 20-30 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90824,,Encounter 20-30 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90826,,Encounter 45-50 Min,0,0,$0.00 ,0,0,0
,Substance Abuse: Psychotherapy (Individual Therapy),,90826,,Encounter 45-50 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90827,,Encounter 45-50 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90828,,Encounter 75-80 Min,0,0,$0.00 ,0,0,0
,Therapy-Individual Therapy,,90829,,Encounter 75-80 Min,0,0,$0.00 ,0,0,0
,Therapy-Family Therapy,,90846,,Encounter,3,7,$888.00 ,296,127,2
,Therapy-Family Therapy,,90847,,Encounter,6,19,"$2,391.00 ",399,126,3
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90847,,Encounter,0,0,$0.00 ,0,0,0
,Therapy-Family Therapy,,90849,,Encounter,0,0,$0.00 ,0,0,0
,Therapy-Family Therapy,,90849,HS,Encounter,0,0,$0.00 ,0,0,0
,Therapy-Group Therapy,,90853,,Encounter,38,404,"$63,209.00 ",1663,156,11
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90853,,Encounter,0,0,$0.00 ,0,0,0
Allegan,,,,,,,,,,,
,Therapy-Group Therapy,,90857,,Encounter,0,0,$0.00 ,0,0,0
,Substance Abuse: Outpatient Treatment,"0900, 0914, 0915, 0916, 0919",90857,,Encounter,0,0,$0.00 ,0,0,0
,Medication Review ,,90862,,Encounter,359,"1,120.00","$120,094.00 ",335,107,3
,Substance Abuse: Medication Review,"0900, 0914, 0915, 0916, 0919",90862,,Encounter,0,0,$0.00 ,0,0,0
,Additional Codes-ECT Physician,,90870,,Encounter,0,0,$0.00 ,0,0,0
,Assessments-Other,,90887,,Encounter,0,0,$0.00 ,0,0,0
,Speech & Language Therapy ,,92506,,Encounter,0,0,$0.00 ,0,0,0
,Speech & Language Therapy ,,92507,,Encounter,0,0,$0.00 ,0,0,0
,Speech & Language Therapy ,,92508,,Encounter,0,0,$0.00 ,0,0,0
,Speech & Language Therapy ,,92526,,Encounter,0,0,$0.00 ,0,0,0
,Speech & Language Therapy ,,92610,,Encounter,0,0,$0.00 ,0,0,0
,Auditory Rehabilitation Preling Hearing Loss (Children's Waiver),,92630,,Encounter,0,0,$0.00 ,0,0,0
,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,13,34,"$6,178.00 ",475,182,3
,Psychological Testing by Technician ,,96102,,Per Hour,0,0,$0.00 ,0,0,0
,Psychological Testing by Comp ,,96103,,Per Hour,0,0,$0.00 ,0,0,0
,Assessments-Other,,96105,,Encounter,0,0,$0.00 ,0,0,0
,Assessments-Other,,96110,,Encounter,0,0,$0.00 ,0,0,0
,Assessments-Other,,96111,,Encounter,0,0,$0.00 ,0,0,0
