CMH Name,DD Group Num,DD Serv Num,FirstOfService Description,FirstOfRevenue Code,FirstOfModifier,FirstOfHCPCS Code,FirstOfUnit type,SumOfDD-Cases,SumOfDD-Units,SumOfDD-Cost,SumOfOther Cost,FirstOfDD Totals,FirstOfDD Unique Consumers
Allegan,3,3,"Local Psychiatric Hospital/IMD PT68 
bundled per diem",0100,PT68,,Day,2,15,19192.11,847692.86,14133815.62,572
Allegan,4,4,"Local Psychiatric Hospital/IMD PT68
bundled per diem",0100,PT68,,Day,1,12,1662.1,85953.4,14133815.62,572
Allegan,5,5,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",PT68,,Day,0,0,0,0,14133815.62,572
Allegan,6,6,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",PT68,,Day,0,0,0,0,14133815.62,572
Allegan,7,7,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,PT73,,Day,4,120,43118.78,443651.81,14133815.62,572
Allegan,8,8,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,PT73,,Day,0,0,0,16006.95,14133815.62,572
Allegan,9,9,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",PT73,,Day,0,0,0,212732.43,14133815.62,572
Allegan,10,10,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",PT73,,Day,1,9,772.89,4142.39,14133815.62,572
Allegan,12,12,Local Psychiatric Hospital/IMD,,PT68,,Amount,0,0,0,58566,14133815.62,572
Allegan,13,13,Local Psychiatric Hospital/Acute Community,,PT73,,Day,0,0,0,69762.22,14133815.62,572
Allegan,16,16,Inpatient Hospital Ancillary Services - Room and Board,0144,,,# of items,0,0,0,0,14133815.62,572
Allegan,17,17,Inpatient Hospital Ancillary Services - Leave of Absence,0183,,,# of tests,0,0,0,0,14133815.62,572
Allegan,18,18,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258",,,# of tests,0,0,0,0,14133815.62,572
Allegan,19,19,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,,0,0,0,0,14133815.62,572
Allegan,20,20,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of treatments,0,0,0,0,14133815.62,572
Allegan,21,21,Inpatient Hospital Ancillary Services - Radiology,0320,,,# of treatments,0,0,0,0,14133815.62,572
Allegan,22,22,ECT Anesthesia,0370,,,# of treatments,0,0,0,0,14133815.62,572
Allegan,23,23,Inpatient Hospital Ancillary Services - Respiratory Services,0410,,,# of treatments,0,0,0,0,14133815.62,572
Allegan,24,24,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of visits,0,0,0,0,14133815.62,572
Allegan,25,25,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of tests,0,0,0,0,14133815.62,572
Allegan,26,26,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of tests,0,0,0,0,14133815.62,572
Allegan,27,27,Inpatient Hospital Ancillary Services - Emergency Room,0450,,,# of tests,0,0,0,0,14133815.62,572
Allegan,28,28,Inpatient Hospital Ancillary Services - Pulmonary Function,0460,,,# of units,0,0,0,0,14133815.62,572
Allegan,29,29,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,,0,0,0,0,14133815.62,572
Allegan,30,30,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0,14133815.62,572
Allegan,31,31,Inpatient Hospital Ancillary Services - Pharmacy,0636,,,# of tests,0,0,0,0,14133815.62,572
Allegan,32,32,ECT Recovery Room,0710,,,Hour,0,0,0,0,14133815.62,572
Allegan,33,33,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,Encounter,0,0,0,0,14133815.62,572
Allegan,34,34,Inpatient Hospital Ancillary Services - EEG,0740,,,# of visits,0,0,0,0,14133815.62,572
Allegan,35,35,Crisis Observation Care,0762,,,Day,0,0,0,0,14133815.62,572
Allegan,36,36,Additional Codes-ECT Facility Charge,0901,,,Day,0,0,0,0,14133815.62,572
Allegan,37,37,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of tests,0,0,0,0,14133815.62,572
Allegan,38,38,Outpatient Partial Hospitalization,0912,,,# of visits,0,0,0,21186.98,14133815.62,572
Allegan,39,39,Outpatient Partial Hospitalization,0913,,,Minutes,0,0,0,0,14133815.62,572
Allegan,40,40,Inpatient Hospital Ancillary Services - Other Diagnosis Services,0925,,,Minutes,0,0,0,0,14133815.62,572
Allegan,41,41,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,Encounter,0,0,0,0,14133815.62,572
Allegan,42,42,Additional Codes-ECT Anesthesia,,,00104,First 30 Minutes,0,0,0,0,14133815.62,572
Allegan,43,43,Additional Codes-ECT Anesthesia,0901,,00104,15 Minutes,0,0,0,0,14133815.62,572
Allegan,44,44,"ABA Behavior Identification Assessment 
(Note: code retired 12/31/18)",,U5,0359T,Each Additional 30 Minutes,31,31,17127.72,18264.83,14133815.62,572
Allegan,45,45,ABA Behavioral Follow-up Assessment (reporting units of per 15 minutes effective 1/1/19),,U5,0362T,First 30 Minutes,2,3,84.27,84.27,14133815.62,572
Allegan,46,46,ABA Behavioral Follow-up Assessment (reporting units of per 15 minutes effective 1/1/19),,U5,0362T,Each Additional 30 Minutes,4,30,842.59,842.59,14133815.62,572
Allegan,47,47,"ABA Behavioral Follow-up Assessment 
(Note: code retired 12/31/18)",,U5,0363T,First 30 Minutes,2,6,343.58,343.58,14133815.62,572
Allegan,48,48,"ABA Adaptive Treatment
(Note: code retired 12/31/18)",,U5,0364T,Each Additional 30 Minutes,62,2119,64495.47,67012.51,14133815.62,572
Allegan,49,49,"ABA Adaptive Treatment
(Note: code retired 12/31/18)",,U5,0365T,First 30 Minutes,62,9701,293196.78,307499.5,14133815.62,572
