CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIA-Cases,SumOfMIA-Units,SumOfMIA-Cost
Allegan,"Local Psychiatric Hospital/IMD PT68 
bundled per diem",0100,,PT68,Day,76,933,750896
Allegan,"Local Psychiatric Hospital/IMD PT68
bundled per diem",0100,,PT68,Day,13,133,16949
Allegan,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0
Allegan,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0
Allegan,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,,PT73,Day,45,427,347003
Allegan,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,,PT73,Day,3,33,11143
Allegan,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,29,237,176521
Allegan,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,4,17,2191
Allegan,Local Psychiatric Hospital/IMD,,,PT68,Amount,0,0,22550
Allegan,Local Psychiatric Hospital/Acute Community,,,PT73,Amount,0,0,27880
Allegan,Inpatient Hospital Ancillary Services - Room and Board,0144,,,Day,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Leave of Absence,0183,,,Day,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Radiology,0320,,,# of tests,0,0,0
Allegan,ECT Anesthesia,0370,,,,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Respiratory Services,0410,,,# of treatments,0,0,0
Allegan,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Emergency Room,0450,,,# of visits,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Pulmonary Function,0460,,,# of tests,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,0636,,,# of units,0,0,0
Allegan,ECT Recovery Room,0710,,,,0,0,0
Allegan,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0
Allegan,Inpatient Hospital Ancillary Services - EEG,0740,,,# of tests,0,0,0
Allegan,Crisis Observation Care,0762,,,Hour,0,0,0
Allegan,Additional Codes-ECT Facility Charge,0901,,,Encounter,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0
Allegan,Outpatient Partial Hospitalization,0912,,,Day,9,45,14256
Allegan,Outpatient Partial Hospitalization,0913,,,Day,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Other Diagnosis Services,0925,,,# of tests,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0
Allegan,Additional Codes-ECT Anesthesia,,00104,,Minutes,0,0,0
Allegan,Additional Codes-ECT Anesthesia,0901,00104,,Minutes,0,0,0
Allegan,Drug Screen,,80305,,Encounter,0,0,0
Allegan,Drug Screen,,80306,,Encounter,0,0,0
Allegan,Drug Screen,,80307,,Encounter,0,0,0
Allegan,Interactive Complexity - Add On Code,,90785,,Encounter,0,0,0
Allegan,Substance Abuse - Interactive Complexity - Add On Code,,90785,HF,Encounter,0,0,0
Allegan,Assessment,,"90791
",,Encounter,8,8,4587
Allegan,Substance Use: Assessment,,90791,HF,Encounter,0,0,0
Allegan,Assessment,,90792,,Encounter,69,69,42357
Allegan,Substance Use: Assessment,,90792,HF,Encounter,0,0,0
Allegan,Mental Health: Outpatient Care,,90832,,30 Minutes,125,355,29597
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0
Allegan,Assessment,,90833,,30 Minutes,0,0,0
Allegan,Mental Health: Outpatient Care,,90834,,45 Minutes,212,1150,159343
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0
Allegan,Assessment,,90836,,45 Minutes,0,0,0
Allegan,Mental Health: Outpatient Care,,90837,,60 Minutes,202,1133,196023
Allegan,Substance Use Disorder: Outpatient Care,,90837,HF,60 Minutes,0,0,0
Allegan,Assessment,,90838,,60 Minutes,0,0,0
Allegan,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,5,5,752
