CMH Name,MIA Group Num,MIA Serv Num,FirstOfService Description,FirstOfRevenue Code,FirstOfModifier,FirstOfHCPCS Code,FirstOfUnit type,SumOfMIA-Cases,SumOfMIA-Units,SumOfMIA-Cost,SumOfOther Cost,FirstOfMIA Totals,FirstOfMIA Unique Consumers
Allegan,3,3,"Local Psychiatric Hospital/IMD PT68 
bundled per diem",0100,PT68,,Day,74,681,640842.15,847692.86,8125380.01,998
Allegan,4,4,"Local Psychiatric Hospital/IMD PT68
bundled per diem",0100,PT68,,Day,26,364,55646.83,85953.4,8125380.01,998
Allegan,5,5,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",PT68,,Day,0,0,0,0,8125380.01,998
Allegan,6,6,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",PT68,,Day,0,0,0,0,8125380.01,998
Allegan,7,7,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,PT73,,Day,42,388,380922.96,443651.81,8125380.01,998
Allegan,8,8,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,PT73,,Day,5,105,16006.95,16006.95,8125380.01,998
Allegan,9,9,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",PT73,,Day,29,213,194746.68,212732.43,8125380.01,998
Allegan,10,10,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",PT73,,Day,3,16,3369.5,4142.39,8125380.01,998
Allegan,12,12,Local Psychiatric Hospital/IMD,,PT68,,Amount,0,0,58026,58566,8125380.01,998
Allegan,13,13,Local Psychiatric Hospital/Acute Community,,PT73,,Day,0,0,69762.22,69762.22,8125380.01,998
Allegan,16,16,Inpatient Hospital Ancillary Services - Room and Board,0144,,,# of items,0,0,0,0,8125380.01,998
Allegan,17,17,Inpatient Hospital Ancillary Services - Leave of Absence,0183,,,# of tests,0,0,0,0,8125380.01,998
Allegan,18,18,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258",,,# of tests,0,0,0,0,8125380.01,998
Allegan,19,19,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,,0,0,0,0,8125380.01,998
Allegan,20,20,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of treatments,0,0,0,0,8125380.01,998
Allegan,21,21,Inpatient Hospital Ancillary Services - Radiology,0320,,,# of treatments,0,0,0,0,8125380.01,998
Allegan,22,22,ECT Anesthesia,0370,,,# of treatments,0,0,0,0,8125380.01,998
Allegan,23,23,Inpatient Hospital Ancillary Services - Respiratory Services,0410,,,# of treatments,0,0,0,0,8125380.01,998
Allegan,24,24,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of visits,0,0,0,0,8125380.01,998
